This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
f8a6107872852e09e649f6140ca4ace6f9aa4485134fccd3f99940fff7dc98d1 9 7 18491 1115
79f3f0cbb15ade3e938415e73fa69c1829d06fe72039e482eee622d09d0b6303 3 3 429 70
6d500a001c4ce5c2fc1e0a781c69e820e9d99010acaef4b51f42a15afc64a503 1 1 162 0
a7094ba6bc0b1574518fff72c214ed557fef2c0cc3dea0cd55a7f66564ba60ef 1 1 23 0
7bb65d4fe96e879f14f68ceab28f0d05cdb7700800b67d692ac8dd5ff32e4c9d 5 4 1718 49
2c1a7409169035ca203f045a9c667811fa634ac98611ca2947efa163cff901a4 3 3 13935 17
3c7edfa56a8d03ab9de1e9bbb6c4ed071a818b481c0d60225c64abe3ddda2ca0 2 2 8326 0
601bbe4afe25d5ea5678612067306d05674b7b231bfcef9366df87af2d82cdfc 3 3 9966 0
800e3bac8f6757a99e43b7e745ad38afac337a5d34f857140ee49fc2bd696eb9 35 7 163 4
b6531e3410cb85f48d748f4cb9c22167c77b5b9476ab991a6858ce9213eaa09e 1 1 162 0
9b54102901929ba3f2236cffd3eb0d65248ca65259b9cec69be1d01902d86318 2 2 237 2
d8b38f2817b7c02a921769befdb60a2ce827fcbc93e99c1911c175abc588409e 1 1 142 0
2f61e3ab9bf1fd6c2007ad9908a6a21f637a2992e75b9f60fde27f95bcde4650 8 8 3891 174
e1de197d519616fe08dae4b571b3908ca7d406ef68dc9f7caaacbaa4890fb511 4 4 5942 229
55e092801ff141060e8540f121d56e3686ff4e5312f001003c6ff91ec40f2579 1 1 1 0
96553e5e637f28ceade7162f0bd7c7c9450f1b78e0247531d2639c4f6be7cae5 7 7 13444 796
5bc9e6bba41656a2ecb13e491a7f8ab75e8b70eef2aa6cd685575eeafcbfeb3f 3 3 4973 131
ef5c7f62ec128defc08bec607a50c35e056173bb34b88d53665140068ddee65d 2 2 2673 22
b6f7b3377229d82ba4797cd4cb55ce20eacc171a90f639277c16b1c1831a997a 4 1 161 0
ba91de7c262a62b306c69eaee8b369bc5f9e3d6ea9599ce25b6fbdb1e61b7d05 1 1 165 0
60e4ca4155fd6bb525fda54ab75e9089a7d8025fc8bb73fae724ea35e122dda3 1 1 240 0
